month,mean_rh
2012-01,87.3
2012-02,85.6
2012-03,87.3
2012-04,85.1
2012-05,83.1
2012-06,79
2012-07,81.1
2012-08,79.8
2012-09,79.7
2012-10,81.3
2012-11,85.4
2012-12,87
2013-01,82.1
2013-02,86.9
2013-03,80.4
2013-04,82.7
2013-05,83.1
2013-06,74.6
2013-07,79.9
2013-08,79
2013-09,81.3
2013-10,79.9
2013-11,84.6
2013-12,85.8
2014-01,78.5
2014-02,74.5
2014-03,76
2014-04,80
2014-05,80.2
2014-06,77.5
2014-07,78.3
2014-08,79.7
2014-09,75.6
2014-10,77
2014-11,82.4
2014-12,82.6
2015-01,77.6
2015-02,75.4
2015-03,75.8
2015-04,77.1
2015-05,78.9
2015-06,75.8
2015-07,74.9
2015-08,76.7
2015-09,75
2015-10,75.4
2015-11,79.1
2015-12,81.1
2016-01,79.6
2016-02,78.8
2016-03,74.7
2016-04,75.6
2016-05,77.4
2016-06,77.7
2016-07,77.3
2016-08,74
2016-09,73.9
2016-10,72
2016-11,77.6
2016-12,72.8
2017-01,84.8
2017-02,83.2
2017-03,82.5
2017-04,83.5
2017-05,82.8
2017-06,80.2
2017-07,79.6
2017-08,79.9
2017-09,81
2017-10,82.5
2017-11,86.3
2017-12,85.2
2018-01,86.6
2018-02,77.2
2018-03,78.4
2018-04,78.5
2018-05,79
2018-06,79.3
2018-07,77.7
2018-08,77
2018-09,77.1
2018-10,79.7
2018-11,83.2
2018-12,81.5
2019-01,75.6
2019-02,74.1
2019-03,72.3
2019-04,77.6
2019-05,79.2
2019-06,79.5
2019-07,75.2
2019-08,72.1
2019-09,73
2019-10,78.1
2019-11,79.2
2019-12,83.9
2020-01,77.9
2020-02,76
2020-03,75.2
2020-04,76.4
2020-05,79.1
2020-06,80.2
2020-07,78.2
2020-08,76.8
2020-09,79
2020-10,75.4
2020-11,81.7
2020-12,81.1
2021-01,82.6
2021-02,73.8
2021-03,76.6
2021-04,77.4
2021-05,79.3
2021-06,77.8
2021-07,76.5
2021-08,80.4
2021-09,77.3
2021-10,78.3
2021-11,81.7
2021-12,79.7
2022-01,77.4
2022-02,80.3
2022-03,79.2
2022-04,80
2022-05,76.5
2022-06,79.1
2022-07,76.8
2022-08,77.4
2022-09,76.9
2022-10,78.7
2022-11,79.9
2022-12,81.2
2023-01,81.9
2023-02,79.4
2023-03,79.2
2023-04,77.4
2023-05,73.7
2023-06,75.1
2023-07,75.1
2023-08,74.6
2023-09,73.6
2023-10,73.5
2023-11,79.1
2023-12,82.7
2024-01,83.7
2024-02,75.8
2024-03,74.2
2024-04,75.6
2024-05,77.7
2024-06,76.6
