Week,dengue: (Singapore)
2014-12-28,51
2015-01-04,51
2015-01-11,51
2015-01-18,49
2015-01-25,62
2015-02-01,47
2015-02-08,50
2015-02-15,38
2015-02-22,61
2015-03-01,49
2015-03-08,55
2015-03-15,47
2015-03-22,44
2015-03-29,46
2015-04-05,56
2015-04-12,46
2015-04-19,56
2015-04-26,40
2015-05-03,46
2015-05-10,61
2015-05-17,65
2015-05-24,66
2015-05-31,57
2015-06-07,59
2015-06-14,68
2015-06-21,71
2015-06-28,68
2015-07-05,66
2015-07-12,66
2015-07-19,81
2015-07-26,65
2015-08-02,49
2015-08-09,59
2015-08-16,71
2015-08-23,55
2015-08-30,47
2015-09-06,54
2015-09-13,64
2015-09-20,53
2015-09-27,67
2015-10-04,59
2015-10-11,61
2015-10-18,57
2015-10-25,60
2015-11-01,59
2015-11-08,58
2015-11-15,59
2015-11-22,53
2015-11-29,65
2015-12-06,79
2015-12-13,75
2015-12-20,67
2015-12-27,100
2020-12-27,71
2021-01-03,89
2021-01-10,86
2021-01-17,86
2021-01-24,90
2021-01-31,74
2021-02-07,77
2021-02-14,73
2021-02-21,87
2021-02-28,85
2021-03-07,95
2021-03-14,73
2021-03-21,88
2021-03-28,87
2021-04-04,61
2021-04-11,82
2021-04-18,77
2021-04-25,94
2021-05-02,79
2021-05-09,81
2021-05-16,80
2021-05-23,85
2021-05-30,97
2021-06-06,86
2021-06-13,75
2021-06-20,86
2021-06-27,78
2021-07-04,83
2021-07-11,92
2021-07-18,100
2021-07-25,61
2021-08-01,87
2021-08-08,64
2021-08-15,54
2021-08-22,61
2021-08-29,69
2021-09-05,82
2021-09-12,93
2021-09-19,80
2021-09-26,77
2021-10-03,96
2021-10-10,75
2021-10-17,72
2021-10-24,71
2021-10-31,67
2021-11-07,64
2021-11-14,49
2021-11-21,55
2021-11-28,52
2021-12-05,46
2021-12-12,51
2021-12-19,45
2021-12-26,31
2015-12-27,52
2016-01-03,71
2016-01-10,76
2016-01-17,69
2016-01-24,100
2016-01-31,84
2016-02-07,81
2016-02-14,73
2016-02-21,70
2016-02-28,66
2016-03-06,61
2016-03-13,50
2016-03-20,44
2016-03-27,50
2016-04-03,49
2016-04-10,45
2016-04-17,38
2016-04-24,37
2016-05-01,38
2016-05-08,33
2016-05-15,34
2016-05-22,40
2016-05-29,42
2016-06-05,41
2016-06-12,37
2016-06-19,35
2016-06-26,44
2016-07-03,37
2016-07-10,43
2016-07-17,43
2016-07-24,40
2016-07-31,45
2016-08-07,31
2016-08-14,37
2016-08-21,37
2016-08-28,86
2016-09-04,56
2016-09-11,44
2016-09-18,39
2016-09-25,31
2016-10-02,33
2016-10-09,33
2016-10-16,28
2016-10-23,26
2016-10-30,27
2016-11-06,18
2016-11-13,20
2016-11-20,24
2016-11-27,19
2016-12-04,18
2016-12-11,18
2016-12-18,16
2016-12-25,17
2021-12-26,6
2022-01-02,12
2022-01-09,12
2022-01-16,17
2022-01-23,17
2022-01-30,13
2022-02-06,16
2022-02-13,16
2022-02-20,14
2022-02-27,19
2022-03-06,23
2022-03-13,24
2022-03-20,26
2022-03-27,34
2022-04-03,28
2022-04-10,45
2022-04-17,57
2022-04-24,72
2022-05-01,57
2022-05-08,66
2022-05-15,100
2022-05-22,79
2022-05-29,94
2022-06-05,85
2022-06-12,84
2022-06-19,81
2022-06-26,83
2022-07-03,81
2022-07-10,76
2022-07-17,69
2022-07-24,65
2022-07-31,66
2022-08-07,55
2022-08-14,53
2022-08-21,46
2022-08-28,49
2022-09-04,44
2022-09-11,43
2022-09-18,39
2022-09-25,39
2022-10-02,32
2022-10-09,39
2022-10-16,35
2022-10-23,35
2022-10-30,30
2022-11-06,24
2022-11-13,26
2022-11-20,24
2022-11-27,20
2022-12-04,26
2022-12-11,27
2022-12-18,26
2022-12-25,24
2017-12-31,31
2018-01-07,44
2018-01-14,36
2018-01-21,38
2018-01-28,34
2018-02-04,31
2018-02-11,29
2018-02-18,32
2018-02-25,30
2018-03-04,33
2018-03-11,30
2018-03-18,31
2018-03-25,28
2018-04-01,32
2018-04-08,29
2018-04-15,29
2018-04-22,26
2018-04-29,58
2018-05-06,100
2018-05-13,48
2018-05-20,69
2018-05-27,47
2018-06-03,57
2018-06-10,40
2018-06-17,36
2018-06-24,37
2018-07-01,41
2018-07-08,38
2018-07-15,43
2018-07-22,38
2018-07-29,38
2018-08-05,38
2018-08-12,31
2018-08-19,29
2018-08-26,34
2018-09-02,32
2018-09-09,36
2018-09-16,35
2018-09-23,34
2018-09-30,27
2018-10-07,31
2018-10-14,31
2018-10-21,33
2018-10-28,37
2018-11-04,39
2018-11-11,33
2018-11-18,41
2018-11-25,47
2018-12-02,63
2018-12-09,46
2018-12-16,47
2018-12-23,43
2018-12-30,43
2019-12-29,22
2020-01-05,32
2020-01-12,33
2020-01-19,26
2020-01-26,25
2020-02-02,22
2020-02-09,49
2020-02-16,48
2020-02-23,31
2020-03-01,27
2020-03-08,28
2020-03-15,27
2020-03-22,35
2020-03-29,23
2020-04-05,22
2020-04-12,16
2020-04-19,27
2020-04-26,22
2020-05-03,23
2020-05-10,35
2020-05-17,31
2020-05-24,33
2020-05-31,47
2020-06-07,68
2020-06-14,73
2020-06-21,78
2020-06-28,75
2020-07-05,66
2020-07-12,77
2020-07-19,100
2020-07-26,79
2020-08-02,80
2020-08-09,64
2020-08-16,59
2020-08-23,51
2020-08-30,45
2020-09-06,36
2020-09-13,34
2020-09-20,35
2020-09-27,28
2020-10-04,25
2020-10-11,26
2020-10-18,23
2020-10-25,25
2020-11-01,16
2020-11-08,16
2020-11-15,19
2020-11-22,17
2020-11-29,18
2020-12-06,13
2020-12-13,13
2020-12-20,11
2020-12-27,9
2013-12-29,49
2014-01-05,65
2014-01-12,58
2014-01-19,42
2014-01-26,45
2014-02-02,43
2014-02-09,52
2014-02-16,46
2014-02-23,49
2014-03-02,46
2014-03-09,35
2014-03-16,33
2014-03-23,36
2014-03-30,39
2014-04-06,35
2014-04-13,38
2014-04-20,46
2014-04-27,45
2014-05-04,38
2014-05-11,36
2014-05-18,38
2014-05-25,57
2014-06-01,48
2014-06-08,53
