Week,dengue symptoms: (Singapore)
2021-12-26,0
2022-01-02,0
2022-01-09,11
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,12
2022-02-20,7
2022-02-27,15
2022-03-06,19
2022-03-13,13
2022-03-20,21
2022-03-27,22
2022-04-03,21
2022-04-10,31
2022-04-17,39
2022-04-24,64
2022-05-01,51
2022-05-08,54
2022-05-15,100
2022-05-22,76
2022-05-29,96
2022-06-05,83
2022-06-12,88
2022-06-19,99
2022-06-26,97
2022-07-03,86
2022-07-10,85
2022-07-17,79
2022-07-24,78
2022-07-31,73
2022-08-07,74
2022-08-14,56
2022-08-21,40
2022-08-28,52
2022-09-04,53
2022-09-11,50
2022-09-18,39
2022-09-25,37
2022-10-02,37
2022-10-09,49
2022-10-16,40
2022-10-23,52
2022-10-30,28
2022-11-06,26
2022-11-13,24
2022-11-20,28
2022-11-27,23
2022-12-04,28
2022-12-11,28
2022-12-18,27
2022-12-25,29
2014-12-28,58
2015-01-04,74
2015-01-11,66
2015-01-18,60
2015-01-25,62
2015-02-01,68
2015-02-08,51
2015-02-15,32
2015-02-22,51
2015-03-01,25
2015-03-08,34
2015-03-15,52
2015-03-22,25
2015-03-29,35
2015-04-05,49
2015-04-12,0
2015-04-19,46
2015-04-26,36
2015-05-03,47
2015-05-10,64
2015-05-17,85
2015-05-24,46
2015-05-31,50
2015-06-07,65
2015-06-14,77
2015-06-21,58
2015-06-28,26
2015-07-05,46
2015-07-12,59
2015-07-19,40
2015-07-26,32
2015-08-02,25
2015-08-09,36
2015-08-16,70
2015-08-23,46
2015-08-30,46
2015-09-06,33
2015-09-13,70
2015-09-20,29
2015-09-27,54
2015-10-04,39
2015-10-11,37
2015-10-18,49
2015-10-25,50
2015-11-01,34
2015-11-08,52
2015-11-15,57
2015-11-22,69
2015-11-29,57
2015-12-06,79
2015-12-13,88
2015-12-20,69
2015-12-27,100
2013-12-29,55
2014-01-05,53
2014-01-12,57
2014-01-19,41
2014-01-26,39
2014-02-02,32
2014-02-09,46
2014-02-16,39
2014-02-23,44
2014-03-02,43
2014-03-09,25
2014-03-16,37
2014-03-23,33
2014-03-30,33
2014-04-06,32
2014-04-13,29
2014-04-20,47
2014-04-27,34
2014-05-04,32
2014-05-11,39
2014-05-18,38
2014-05-25,50
2014-06-01,52
2014-06-08,41
2014-06-15,54
2014-06-22,42
2014-06-29,69
2014-07-06,100
2014-07-13,87
2014-07-20,100
2014-07-27,68
2014-08-03,55
2014-08-10,51
2014-08-17,73
2014-08-24,48
2014-08-31,44
2014-09-07,33
2014-09-14,47
2014-09-21,30
2014-09-28,34
2014-10-05,29
2014-10-12,25
2014-10-19,25
2014-10-26,33
2014-11-02,19
2014-11-09,21
2014-11-16,35
2014-11-23,36
2014-11-30,29
2014-12-07,37
2014-12-14,32
2014-12-21,31
2014-12-28,28
2023-01-01,90
2023-01-08,65
2023-01-15,77
2023-01-22,87
2023-01-29,77
2023-02-05,82
2023-02-12,88
2023-02-19,43
2023-02-26,53
2023-03-05,55
2023-03-12,79
2023-03-19,66
2023-03-26,72
2023-04-02,77
2023-04-09,77
2023-04-16,73
2023-04-23,55
2023-04-30,68
2023-05-07,54
2023-05-14,60
2023-05-21,49
2023-05-28,53
2023-06-04,51
2023-06-11,69
2023-06-18,65
2023-06-25,70
2023-07-02,89
2023-07-09,66
2023-07-16,57
2023-07-23,89
2023-07-30,73
2023-08-06,62
2023-08-13,51
2023-08-20,75
2023-08-27,55
2023-09-03,66
2023-09-10,99
2023-09-17,74
