Week,fever: (Singapore)
2013-12-29,84
2014-01-05,81
2014-01-12,78
2014-01-19,84
2014-01-26,77
2014-02-02,77
2014-02-09,72
2014-02-16,67
2014-02-23,80
2014-03-02,67
2014-03-09,58
2014-03-16,66
2014-03-23,70
2014-03-30,73
2014-04-06,75
2014-04-13,61
2014-04-20,80
2014-04-27,72
2014-05-04,73
2014-05-11,79
2014-05-18,77
2014-05-25,87
2014-06-01,91
2014-06-08,91
2014-06-15,87
2014-06-22,91
2014-06-29,85
2014-07-06,97
2014-07-13,100
2014-07-20,97
2014-07-27,94
2014-08-03,85
2014-08-10,90
2014-08-17,90
2014-08-24,79
2014-08-31,76
2014-09-07,71
2014-09-14,70
2014-09-21,62
2014-09-28,66
2014-10-05,67
2014-10-12,64
2014-10-19,62
2014-10-26,55
2014-11-02,62
2014-11-09,68
2014-11-16,63
2014-11-23,59
2014-11-30,66
2014-12-07,75
2014-12-14,64
2014-12-21,72
2014-12-28,72
2023-12-31,83
2024-01-07,78
2024-01-14,88
2024-01-21,92
2024-01-28,89
2024-02-04,83
2024-02-11,88
2024-02-18,82
2024-02-25,77
2024-03-03,69
2024-03-10,78
2024-03-17,78
2024-03-24,74
2024-03-31,72
2024-04-07,73
2024-04-14,79
2024-04-21,86
2024-04-28,82
2024-05-05,86
2024-05-12,89
2024-05-19,92
2024-05-26,90
2024-06-02,88
2024-06-09,80
2024-06-16,82
2024-06-23,78
2024-06-30,85
2024-07-07,94
2024-07-14,90
2024-07-21,100
2015-12-27,80
2016-01-03,85
2016-01-10,86
2016-01-17,89
2016-01-24,94
2016-01-31,98
2016-02-07,100
2016-02-14,96
2016-02-21,95
2016-02-28,94
2016-03-06,86
2016-03-13,81
2016-03-20,78
2016-03-27,74
2016-04-03,65
2016-04-10,74
2016-04-17,70
2016-04-24,72
2016-05-01,66
2016-05-08,66
2016-05-15,70
2016-05-22,75
2016-05-29,75
2016-06-05,73
2016-06-12,75
2016-06-19,71
2016-06-26,76
2016-07-03,77
2016-07-10,80
2016-07-17,89
2016-07-24,82
2016-07-31,83
2016-08-07,66
2016-08-14,68
2016-08-21,61
2016-08-28,81
2016-09-04,74
2016-09-11,78
2016-09-18,73
2016-09-25,69
2016-10-02,64
2016-10-09,70
2016-10-16,65
2016-10-23,60
2016-10-30,68
2016-11-06,64
2016-11-13,64
2016-11-20,60
2016-11-27,67
2016-12-04,66
2016-12-11,63
2016-12-18,61
2016-12-25,64
2012-12-30,53
2013-01-06,50
2013-01-13,46
2013-01-20,48
2013-01-27,46
2013-02-03,49
2013-02-10,52
2013-02-17,52
2013-02-24,47
2013-03-03,50
2013-03-10,45
2013-03-17,42
2013-03-24,44
2013-03-31,53
2013-04-07,65
2013-04-14,58
2013-04-21,57
2013-04-28,65
2013-05-05,61
2013-05-12,57
2013-05-19,58
2013-05-26,77
2013-06-02,74
2013-06-09,100
2013-06-16,64
2013-06-23,55
2013-06-30,58
2013-07-07,53
2013-07-14,49
2013-07-21,47
2013-07-28,48
2013-08-04,46
