location,station_ID,year,month,filename
Khatib,122,2020,4,Khatib_122_202004.csv
Jurong Pier,33,2020,6,Jurong Pier_33_202006.csv
Serangoon,36,2020,2,Serangoon_36_202002.csv
Jurong Island,117,2012,1,Jurong Island_117_201201.csv
Tai Seng,43,2021,8,Tai Seng_43_202108.csv
Jurong (East),39,2013,5,Jurong (East)_39_201305.csv
Tai Seng,43,2021,4,Tai Seng_43_202104.csv
Jurong Island,117,2012,5,Jurong Island_117_201205.csv
Tuas,89,2014,7,Tuas_89_201407.csv
Simei,84,2015,6,Simei_84_201506.csv
Tuas South,115,2012,8,Tuas South_115_201208.csv
Pasir Ris (West),29,2020,10,Pasir Ris (West)_29_202010.csv
Buona Vista,92,2020,11,Buona Vista_92_202011.csv
Whampoa,123,2023,3,Whampoa_123_202303.csv
Choa Chu Kang (Central),114,2012,5,Choa Chu Kang (Central)_114_201205.csv
East Coast Parkway,107,2013,11,East Coast Parkway_107_201311.csv
Tuas,89,2016,5,Tuas_89_201605.csv
Boon Lay (West),63,2013,7,Boon Lay (West)_63_201307.csv
Buangkok,55,2014,5,Buangkok_55_201405.csv
Boon Lay (West),63,2012,10,Boon Lay (West)_63_201210.csv
Choa Chu Kang (Central),114,2012,4,Choa Chu Kang (Central)_114_201204.csv
Somerset (Road),79,2013,5,Somerset (Road)_79_201305.csv
Jurong (West),44,2012,10,Jurong (West)_44_201210.csv
East Coast Parkway,107,2018,3,East Coast Parkway_107_201803.csv
Upper Peirce Reservoir,69,2012,2,Upper Peirce Reservoir_69_201202.csv
Tuas South,115,2018,2,Tuas South_115_201802.csv
Lim Chu Kang,112,2023,12,Lim Chu Kang_112_202312.csv
East Coast Parkway,107,2018,11,East Coast Parkway_107_201811.csv
Lim Chu Kang,112,2016,6,Lim Chu Kang_112_201606.csv
Bukit Timah,90,2015,4,Bukit Timah_90_201504.csv
Pulau Ubin,106,2022,9,Pulau Ubin_106_202209.csv
Marina Barrage,108,2023,11,Marina Barrage_108_202311.csv
Tuas South,115,2021,12,Tuas South_115_202112.csv
Nicoll Highway,119,2014,2,Nicoll Highway_119_201402.csv
Khatib,122,2020,5,Khatib_122_202005.csv
Changi Climate Station,24,2012,5,Changi Climate Station_24_201205.csv
Admiralty,104,2021,8,Admiralty_104_202108.csv
Choa Chu Kang (West),11,2016,11,Choa Chu Kang (West)_11_201611.csv
Upper Peirce Reservoir,69,2017,4,Upper Peirce Reservoir_69_201704.csv
Lim Chu Kang,112,2013,11,Lim Chu Kang_112_201311.csv
Jurong (North),101,2018,5,Jurong (North)_101_201805.csv
Bukit Panjang,64,2019,2,Bukit Panjang_64_201902.csv
Newton,111,2015,12,Newton_111_201512.csv
Buangkok,55,2017,2,Buangkok_55_201702.csv
Serangoon North,110,2016,10,Serangoon North_110_201610.csv
Pulau Ubin,106,2019,2,Pulau Ubin_106_201902.csv
Admiralty,104,2019,4,Admiralty_104_201904.csv
Tuas West,82,2014,10,Tuas West_82_201410.csv
Pasir Panjang,116,2021,8,Pasir Panjang_116_202108.csv
Toa Payoh,88,2019,5,Toa Payoh_88_201905.csv
Queenstown,77,2021,11,Queenstown_77_202111.csv
Upper Peirce Reservoir,69,2012,5,Upper Peirce Reservoir_69_201205.csv
Ang Mo Kio,109,2014,4,Ang Mo Kio_109_201404.csv
Tai Seng,43,2020,2,Tai Seng_43_202002.csv
Ang Mo Kio,109,2014,9,Ang Mo Kio_109_201409.csv
Toa Payoh,88,2021,1,Toa Payoh_88_202101.csv
Somerset (Road),79,2020,6,Somerset (Road)_79_202006.csv
Tuas West,82,2022,5,Tuas West_82_202205.csv
Ang Mo Kio,109,2019,12,Ang Mo Kio_109_201912.csv
Marine Parade,113,2017,6,Marine Parade_113_201706.csv
Whampoa,123,2014,3,Whampoa_123_201403.csv
Choa Chu Kang (Central),114,2013,3,Choa Chu Kang (Central)_114_201303.csv
Tuas,89,2020,10,Tuas_89_202010.csv
Marine Parade,113,2012,2,Marine Parade_113_201202.csv
Pasir Ris (West),29,2015,4,Pasir Ris (West)_29_201504.csv
Tai Seng,43,2013,7,Tai Seng_43_201307.csv
Kampong Bahru,31,2012,9,Kampong Bahru_31_201209.csv
Serangoon,36,2021,11,Serangoon_36_202111.csv
Jurong Island,117,2014,1,Jurong Island_117_201401.csv
Chai Chee,61,2019,6,Chai Chee_61_201906.csv
Sentosa Island,60,2018,3,Sentosa Island_60_201803.csv
Bukit Timah,90,2013,9,Bukit Timah_90_201309.csv
Queenstown,77,2016,6,Queenstown_77_201606.csv
Pasir Panjang,116,2021,4,Pasir Panjang_116_202104.csv
Admiralty West,105,2014,9,Admiralty West_105_201409.csv
Upper Peirce Reservoir,69,2013,1,Upper Peirce Reservoir_69_201301.csv
Sentosa Island,60,2016,5,Sentosa Island_60_201605.csv
Choa Chu Kang (Central),114,2012,10,Choa Chu Kang (Central)_114_201210.csv
Kent Ridge,71,2020,9,Kent Ridge_71_202009.csv
Seletar,25,2020,1,Seletar_25_202001.csv
Macritchie Reservoir,07,2013,10,Macritchie Reservoir_07_201310.csv
Clementi,50,2013,8,Clementi_50_201308.csv
Choa Chu Kang (Central),114,2017,11,Choa Chu Kang (Central)_114_201711.csv
Dhoby Ghaut,118,2019,12,Dhoby Ghaut_118_201912.csv
Jurong (West),44,2023,3,Jurong (West)_44_202303.csv
Mandai,40,2020,3,Mandai_40_202003.csv
Jurong (West),44,2015,2,Jurong (West)_44_201502.csv
Tuas West,82,2017,8,Tuas West_82_201708.csv
Botanic Garden,120,2019,8,Botanic Garden_120_201908.csv
Somerset (Road),79,2021,11,Somerset (Road)_79_202111.csv
Pulau Ubin,106,2019,9,Pulau Ubin_106_201909.csv
Punggol,81,2020,9,Punggol_81_202009.csv
Kent Ridge,71,2020,12,Kent Ridge_71_202012.csv
East Coast Parkway,107,2016,6,East Coast Parkway_107_201606.csv
Punggol,81,2021,2,Punggol_81_202102.csv
Boon Lay (West),63,2012,12,Boon Lay (West)_63_201212.csv
East Coast Parkway,107,2016,8,East Coast Parkway_107_201608.csv
Tengah,23,2014,9,Tengah_23_201409.csv
Pasir Panjang,116,2013,10,Pasir Panjang_116_201310.csv
Mandai,40,2014,11,Mandai_40_201411.csv
Bukit Timah,90,2012,5,Bukit Timah_90_201205.csv
Pasir Panjang,116,2012,7,Pasir Panjang_116_201207.csv
Upper Peirce Reservoir,69,2013,4,Upper Peirce Reservoir_69_201304.csv
Choa Chu Kang (West),11,2018,4,Choa Chu Kang (West)_11_201804.csv
Kent Ridge,71,2012,5,Kent Ridge_71_201205.csv
Marine Parade,113,2023,1,Marine Parade_113_202301.csv
Simei,84,2024,5,Simei_84_202405.csv
Clementi,50,2019,11,Clementi_50_201911.csv
Boon Lay (West),63,2017,4,Boon Lay (West)_63_201704.csv
Kampong Bahru,31,2012,6,Kampong Bahru_31_201206.csv
Tuas,89,2015,3,Tuas_89_201503.csv
Choa Chu Kang (West),11,2019,8,Choa Chu Kang (West)_11_201908.csv
Ang Mo Kio,109,2019,3,Ang Mo Kio_109_201903.csv
Toa Payoh,88,2014,6,Toa Payoh_88_201406.csv
Yishun,91,2020,12,Yishun_91_202012.csv
Pasir Ris (West),29,2017,3,Pasir Ris (West)_29_201703.csv
Punggol,81,2024,3,Punggol_81_202403.csv
Serangoon North,110,2012,12,Serangoon North_110_201212.csv
Lower Peirce Reservoir,08,2023,4,Lower Peirce Reservoir_08_202304.csv
Upper Peirce Reservoir,69,2020,9,Upper Peirce Reservoir_69_202009.csv
Choa Chu Kang (Central),114,2013,4,Choa Chu Kang (Central)_114_201304.csv
Seletar,25,2015,10,Seletar_25_201510.csv
Buangkok,55,2014,4,Buangkok_55_201404.csv
Choa Chu Kang (South),121,2014,3,Choa Chu Kang (South)_121_201403.csv
Punggol,81,2023,9,Punggol_81_202309.csv
Ang Mo Kio,109,2019,5,Ang Mo Kio_109_201905.csv
Admiralty West,105,2016,5,Admiralty West_105_201605.csv
Toa Payoh,88,2017,6,Toa Payoh_88_201706.csv
Admiralty,104,2012,10,Admiralty_104_201210.csv
Jurong (North),101,2015,7,Jurong (North)_101_201507.csv
Toa Payoh,88,2019,8,Toa Payoh_88_201908.csv
Jurong Island,117,2012,7,Jurong Island_117_201207.csv
Newton,111,2012,1,Newton_111_201201.csv
Sentosa Island,60,2020,11,Sentosa Island_60_202011.csv
Pasir Panjang,116,2013,4,Pasir Panjang_116_201304.csv
Pasir Ris (West),29,2014,11,Pasir Ris (West)_29_201411.csv
Marina Barrage,108,2022,8,Marina Barrage_108_202208.csv
Bukit Panjang,64,2019,1,Bukit Panjang_64_201901.csv
Semakau Island,102,2016,2,Semakau Island_102_201602.csv
Jurong Pier,33,2018,7,Jurong Pier_33_201807.csv
Changi Climate Station,24,2013,2,Changi Climate Station_24_201302.csv
Mandai,40,2017,3,Mandai_40_201703.csv
Tuas South,115,2015,6,Tuas South_115_201506.csv
Sentosa Island,60,2018,12,Sentosa Island_60_201812.csv
Jurong Island,117,2022,1,Jurong Island_117_202201.csv
Semakau Island,102,2013,6,Semakau Island_102_201306.csv
Kent Ridge,71,2012,7,Kent Ridge_71_201207.csv
Newton,111,2022,3,Newton_111_202203.csv
Ang Mo Kio,109,2015,5,Ang Mo Kio_109_201505.csv
Mandai,40,2021,3,Mandai_40_202103.csv
Dhoby Ghaut,118,2012,4,Dhoby Ghaut_118_201204.csv
Semakau Island,102,2019,9,Semakau Island_102_201909.csv
Whampoa,123,2021,6,Whampoa_123_202106.csv
Clementi,50,2024,1,Clementi_50_202401.csv
Pasir Panjang,116,2019,3,Pasir Panjang_116_201903.csv
Buangkok,55,2019,4,Buangkok_55_201904.csv
Pulau Ubin,106,2022,10,Pulau Ubin_106_202210.csv
Tuas West,82,2017,5,Tuas West_82_201705.csv
Tuas,89,2016,12,Tuas_89_201612.csv
Choa Chu Kang (South),121,2022,5,Choa Chu Kang (South)_121_202205.csv
Semakau Island,102,2015,5,Semakau Island_102_201505.csv
Tai Seng,43,2024,6,Tai Seng_43_202406.csv
Serangoon North,110,2015,7,Serangoon North_110_201507.csv
Punggol,81,2012,6,Punggol_81_201206.csv
East Coast Parkway,107,2019,1,East Coast Parkway_107_201901.csv
Queenstown,77,2013,1,Queenstown_77_201301.csv
Kent Ridge,71,2022,8,Kent Ridge_71_202208.csv
Choa Chu Kang (South),121,2021,3,Choa Chu Kang (South)_121_202103.csv
Marine Parade,113,2013,3,Marine Parade_113_201303.csv
Boon Lay (West),63,2015,1,Boon Lay (West)_63_201501.csv
Chai Chee,61,2014,6,Chai Chee_61_201406.csv
Dhoby Ghaut,118,2012,8,Dhoby Ghaut_118_201208.csv
Tuas,89,2021,11,Tuas_89_202111.csv
Choa Chu Kang (South),121,2022,9,Choa Chu Kang (South)_121_202209.csv
Tuas,89,2017,7,Tuas_89_201707.csv
Sentosa Island,60,2013,5,Sentosa Island_60_201305.csv
Whampoa,123,2015,1,Whampoa_123_201501.csv
Toa Payoh,88,2021,11,Toa Payoh_88_202111.csv
Choa Chu Kang (Central),114,2018,3,Choa Chu Kang (Central)_114_201803.csv
Bukit Timah,90,2022,4,Bukit Timah_90_202204.csv
Tanjong Katong,78,2019,10,Tanjong Katong_78_201910.csv
Admiralty West,105,2019,1,Admiralty West_105_201901.csv
Yishun,91,2014,2,Yishun_91_201402.csv
Buona Vista,92,2017,8,Buona Vista_92_201708.csv
Tanjong Pagar,72,2020,4,Tanjong Pagar_72_202004.csv
Sentosa Island,60,2021,2,Sentosa Island_60_202102.csv
Buona Vista,92,2022,9,Buona Vista_92_202209.csv
Sentosa Island,60,2017,5,Sentosa Island_60_201705.csv
Pasir Panjang,116,2017,10,Pasir Panjang_116_201710.csv
Boon Lay (West),63,2017,1,Boon Lay (West)_63_201701.csv
Yishun,91,2020,5,Yishun_91_202005.csv
Somerset (Road),79,2023,6,Somerset (Road)_79_202306.csv
Marina Barrage,108,2024,6,Marina Barrage_108_202406.csv
Pulau Ubin,106,2022,2,Pulau Ubin_106_202202.csv
Kranji Reservoir,66,2024,3,Kranji Reservoir_66_202403.csv
Toa Payoh,88,2016,11,Toa Payoh_88_201611.csv
Clementi,50,2017,6,Clementi_50_201706.csv
Jurong (North),101,2016,5,Jurong (North)_101_201605.csv
Kent Ridge,71,2023,9,Kent Ridge_71_202309.csv
Pasir Ris (West),29,2014,12,Pasir Ris (West)_29_201412.csv
Simei,84,2019,10,Simei_84_201910.csv
Tuas West,82,2019,2,Tuas West_82_201902.csv
Semakau Island,102,2018,3,Semakau Island_102_201803.csv
Tengah,23,2020,3,Tengah_23_202003.csv
Pasir Ris (West),29,2018,7,Pasir Ris (West)_29_201807.csv
Pulau Ubin,106,2016,11,Pulau Ubin_106_201611.csv
Chai Chee,61,2019,1,Chai Chee_61_201901.csv
Changi Climate Station,24,2015,10,Changi Climate Station_24_201510.csv
Punggol,81,2016,7,Punggol_81_201607.csv
Nicoll Highway,119,2018,5,Nicoll Highway_119_201805.csv
Choa Chu Kang (South),121,2012,6,Choa Chu Kang (South)_121_201206.csv
Tai Seng,43,2023,6,Tai Seng_43_202306.csv
Jurong (West),44,2023,10,Jurong (West)_44_202310.csv
Lim Chu Kang,112,2013,5,Lim Chu Kang_112_201305.csv
Bukit Timah,90,2013,3,Bukit Timah_90_201303.csv
Simei,84,2022,5,Simei_84_202205.csv
Simei,84,2022,6,Simei_84_202206.csv
Nicoll Highway,119,2012,8,Nicoll Highway_119_201208.csv
Pulau Ubin,106,2016,5,Pulau Ubin_106_201605.csv
Semakau Island,102,2013,7,Semakau Island_102_201307.csv
Tuas,89,2015,5,Tuas_89_201505.csv
Simei,84,2017,8,Simei_84_201708.csv
Dhoby Ghaut,118,2012,1,Dhoby Ghaut_118_201201.csv
Mandai,40,2024,3,Mandai_40_202403.csv
Khatib,122,2019,2,Khatib_122_201902.csv
Ang Mo Kio,109,2022,5,Ang Mo Kio_109_202205.csv
Choa Chu Kang (South),121,2014,2,Choa Chu Kang (South)_121_201402.csv
Ang Mo Kio,109,2015,6,Ang Mo Kio_109_201506.csv
Pasir Ris (West),29,2023,7,Pasir Ris (West)_29_202307.csv
Semakau Island,102,2019,6,Semakau Island_102_201906.csv
Kent Ridge,71,2018,2,Kent Ridge_71_201802.csv
Seletar,25,2023,10,Seletar_25_202310.csv
Tai Seng,43,2021,11,Tai Seng_43_202111.csv
Buona Vista,92,2024,6,Buona Vista_92_202406.csv
Bukit Timah,90,2013,8,Bukit Timah_90_201308.csv
Tuas West,82,2014,9,Tuas West_82_201409.csv
Pasir Ris (West),29,2013,10,Pasir Ris (West)_29_201310.csv
Kampong Bahru,31,2014,11,Kampong Bahru_31_201411.csv
